University Name,Country,Seed URL,Allowed Domain,Notes
Ritsumeikan University,Japan,https://en.ritsumei.ac.jp/,ritsumei.ac.jp,Example seed for inbound and short-term programme discovery
Waseda University,Japan,https://www.waseda.jp/inst/cie/en/,waseda.jp,Example seed for international and exchange programme discovery
